id,Source_Name,Source_Type,Region,Primary_URL,Description,Leaders_CSV,Library_CSV,Algorithm_CSV,Threats_CSV,Timeline_CSV,Compliance_CSV,Migrate_CSV,Last_Verified_Date,primary_url_quality
crypto-quantique,Crypto Quantique,Industry Workgroup,EMEA,https://www.cryptoquantique.com/,Quantum-driven security for IoT devices,No,No,Yes,No,No,No,No,2026-05-06,url_needs_review
xiphera,Xiphera,Industry Workgroup,EMEA,https://www.xiphera.com/,Hardware cryptographic IP cores including PQC implementations,No,No,Yes,No,No,No,No,2026-05-06,url_needs_review
resquant,ResQuant,Industry Workgroup,EMEA,https://resquant.com/,Quantum risk assessment and PQC migration planning services,No,No,No,No,No,No,No,2026-05-06,url_needs_review
sixscape-communications,Sixscape Communications,Industry Workgroup,Americas,https://www.sixscape.com/,IPv6 and quantum-safe network security solutions,No,No,No,No,No,No,No,2026-05-06,url_needs_review
archon-security,Archon Security,Industry Workgroup,Global,https://www.archon.com/,Quantum-safe cryptographic solutions and consulting,No,No,No,No,No,No,No,2026-05-06,url_authoritative
mcgill-university-cryptography,McGill University Cryptography,Academic,Americas,https://crypto.cs.mcgill.ca/,PQCrypto steering committee member; advanced cryptographic research,No,No,Yes,Yes,No,No,No,2026-05-06,url_needs_review
university-of-cincinnati-crypto,University of Cincinnati Crypto,Academic,Americas,https://homepages.uc.edu/~coudtj/,PQCrypto steering committee representation; lattice cryptography research,No,No,Yes,Yes,No,No,No,2026-05-06,url_authoritative
norwegian-university-of-science-and-technology,Norwegian University of Science and Technology,Academic,EMEA,https://www.ntnu.edu/,PQCrypto steering committee member; Nordic PQC research leadership,No,No,Yes,Yes,No,No,No,2026-05-06,url_authoritative
pennsylvania-state-university-crypto,Pennsylvania State University Crypto,Academic,Americas,https://www.cse.psu.edu/,PQCrypto steering committee; code-based cryptography research,No,No,Yes,Yes,No,No,No,2026-05-06,url_authoritative
university-of-ryukyu,University of Ryukyu,Academic,APAC,https://www.u-ryukyu.ac.jp/en/,Japanese PQCrypto research; regional PQC standardization collaboration,No,No,Yes,Yes,No,No,No,2026-05-06,url_needs_review
university-of-limoges-xlim,University of Limoges XLIM,Academic,EMEA,https://www.xlim.fr/en,French research institute; PQCrypto steering committee member,No,No,Yes,Yes,No,No,No,2026-05-06,url_needs_review
indian-institute-of-information-technology-kurnool,Indian Institute of Information Technology Kurnool,Academic,APAC,https://www.iiitk.ac.in/,MeitY-sponsored PQC research projects (2025-2026),No,No,Yes,Yes,No,No,No,2026-05-06,url_needs_review
nist-csrc,NIST Computer Security Resource Center,Government,Americas,https://csrc.nist.gov/projects/post-quantum-cryptography,Primary PQC standardization authority; FIPS standards and technical specifications,No,No,Yes,No,No,No,No,2026-05-06,url_authoritative
nist-news,NIST News & Events,Government,Americas,https://www.nist.gov/news-events,Official NIST announcements for PQC milestones and algorithm selections,No,No,Yes,No,No,No,No,2026-05-06,url_authoritative
nsa-media,NSA Media Defense Portal,Government,Americas,https://media.defense.gov/,Official NSA/DoD technical documentation and FAQ releases,No,No,No,No,No,No,No,2026-05-06,url_authoritative
cisa,CISA Quantum Page,Government,Americas,https://www.cisa.gov/quantum,Federal PQC product categories and procurement guidance (updated Jan 2026),No,No,No,No,No,No,No,2026-05-06,url_authoritative
bsi,BSI Post-Quantum Cryptography,Government,EMEA,https://www.bsi.bund.de/EN/Themen/Unternehmen-und-Organisationen/Informationen-und-Empfehlungen/Quantentechnologien-und-Post-Quanten-Kryptografie/quantentechnologien-und-post-quanten-kryptografie_node.html,German Federal Office for Information Security PQC guidance and migration strategies,No,No,No,No,No,No,No,2026-05-06,url_authoritative
anssi,ANSSI Cryptography Guidelines,Government,EMEA,https://www.ssi.gouv.fr/en/,French cybersecurity agency quantum transition recommendations,No,No,No,No,No,No,No,2026-05-06,url_needs_review
ncsc-uk,NCSC UK Quantum Security,Government,EMEA,https://www.ncsc.gov.uk/whitepaper/quantum-safe-cryptography,UK National Cyber Security Centre quantum threat guidance,No,No,No,No,No,No,No,2026-05-06,url_authoritative
enisa,ENISA Post-Quantum Cryptography,Government,EMEA,https://www.enisa.europa.eu/topics/cryptography,EU cybersecurity agency PQC recommendations and threat analysis,No,No,No,No,No,No,No,2026-05-06,url_authoritative
acsc,ACSC Australian Signals Directorate,Government,APAC,https://www.cyber.gov.au/,Australian Cyber Security Centre quantum security guidance,No,No,No,No,No,No,No,2026-05-06,url_authoritative
cse,CSE Canadian Centre for Cyber Security,Government,Americas,https://cyber.gc.ca/en/,Canadian cybersecurity guidance on quantum threats and PQC migration,No,No,No,No,No,No,No,2026-05-06,url_authoritative
federal-reserve,Federal Reserve Economic Research,Government,Americas,https://www.federalreserve.gov/econres/feds/,Economic and security analysis including HNDL threats to financial systems,No,No,No,No,No,No,No,2026-05-06,url_authoritative
ietf,IETF Datatracker,Industry Workgroup,Global,https://datatracker.ietf.org/,Internet protocol standards including TLS and PKI PQC specifications,No,No,Yes,No,No,No,No,2026-05-06,url_authoritative
iso-iec-sc27,ISO/IEC JTC 1 SC 27,Industry Workgroup,Global,https://www.iso.org/committee/45306.html,International cryptography standards development,No,No,Yes,No,No,No,No,2026-05-06,url_authoritative
etsi-cyber,ETSI Cyber Security,Vendor,EMEA,https://www.etsi.org/technologies/quantum-safe-cryptography,European telecommunications standards for quantum-safe protocols,No,No,Yes,No,No,No,No,2026-05-06,url_authoritative
ieee,IEEE Standards Association,Industry Workgroup,Global,https://standards.ieee.org/,Technical standards for quantum-safe implementations,No,No,Yes,No,No,No,No,2026-05-06,url_authoritative
pki-consortium,PKI Consortium,Industry Workgroup,Global,https://pkic.org/,Public key infrastructure industry coordination and PQC conferences,Yes,Yes,No,No,Yes,No,No,2026-05-06,url_needs_review
pqca,PQCA (Post-Quantum Cryptography Alliance),Industry Workgroup,Americas,https://www.pqca.org/,Industry alliance for PQC adoption and standards harmonization,No,No,No,No,No,No,No,2026-05-06,url_authoritative
tcg,Trusted Computing Group,Industry Workgroup,Global,https://trustedcomputinggroup.org/,Hardware security standards including TPM PQC specifications,No,Yes,Yes,No,Yes,No,No,2026-05-06,url_needs_review
fs-isac,FS-ISAC Financial Services,Industry Workgroup,Global,https://www.fs-isac.com/,Financial sector threat intelligence and PQC migration guidance,No,No,No,No,No,No,No,2026-05-06,url_authoritative
mit-csail,MIT CSAIL Cryptography Group,Academic,Americas,https://dci.mit.edu/,Post-quantum algorithm research and cryptanalysis,No,No,Yes,Yes,No,No,No,2026-05-06,url_authoritative
stanford-crypto,Stanford Applied Crypto Group,Academic,Americas,https://crypto.stanford.edu/,PQC protocol design and security analysis research,No,No,Yes,Yes,No,No,No,2026-05-06,url_authoritative
iqc,University of Waterloo IQC,Academic,Americas,https://uwaterloo.ca/institute-for-quantum-computing/,Quantum computing and post-quantum cryptography research institute,No,No,Yes,Yes,Yes,No,No,2026-05-06,url_needs_review
eth-zurich,ETH Zurich Cryptography Group,Academic,EMEA,https://crypto.ethz.ch/,European PQC algorithm development and analysis,No,No,Yes,Yes,No,No,No,2026-05-06,url_needs_review
inria,INRIA France Cryptography,Academic,EMEA,https://www.inria.fr/en,French national research institute for PQC algorithms,No,No,Yes,Yes,No,No,No,2026-05-06,url_needs_review
tue-coding,TU Eindhoven Coding Theory,Academic,EMEA,https://www.tue.nl/en/research/research-groups/coding-theory-and-cryptology,Code-based and lattice-based PQC research,No,No,Yes,Yes,No,No,No,2026-05-06,url_authoritative
cosic,KU Leuven COSIC,Academic,EMEA,https://www.esat.kuleuven.be/cosic/,Belgian cryptography and security research center,No,No,Yes,Yes,No,No,No,2026-05-06,url_needs_review
utoronto,University of Toronto Smart Grid Security,Academic,Americas,https://www.utoronto.ca/,Critical infrastructure quantum threat research,No,No,No,Yes,No,No,No,2026-05-06,url_needs_review
tsinghua-university-quantum-lab,Tsinghua University Quantum Lab,Academic,APAC,https://www.tsinghua.edu.cn/en/,Chinese quantum computing and PQC research,No,No,Yes,Yes,No,No,No,2026-05-06,url_needs_review
national-university-of-singapore-cqt,National University of Singapore CQT,Academic,APAC,https://www.quantumlah.org/,Centre for Quantum Technologies PQC research,No,No,Yes,Yes,No,No,No,2026-05-06,url_needs_review
university-of-tokyo-quantum,University of Tokyo Quantum,Academic,APAC,https://www.u-tokyo.ac.jp/en/,Japanese quantum security research programs,No,No,Yes,Yes,No,No,No,2026-05-06,url_needs_review
abi-research,ABI Research Technology Analysis,Industry Workgroup,Global,https://www.abiresearch.com/,Industry technology forecasting including HSM and PQC adoption analysis,No,No,No,No,No,No,No,2026-05-06,url_needs_review
thales-research,Thales Data Threat Reports,Vendor,Global,https://cpl.thalesgroup.com/resources,Annual cybersecurity threat assessments including quantum risks,No,No,No,No,No,No,No,2026-05-06,url_needs_review
csa-cloud,Cloud Security Alliance,Industry Workgroup,Global,https://cloudsecurityalliance.org/,Cloud security standards including quantum-safe guidance,No,No,No,Yes,No,No,No,2026-05-06,url_needs_review
owasp,OWASP Quantum,Industry Workgroup,Global,https://owasp.org/,Application security guidance for quantum-safe development,No,No,No,No,No,No,No,2026-05-06,url_needs_review
lf-qsc,Linux Foundation QSC,Vendor,Global,https://www.linuxfoundation.org/,Open source quantum-safe cryptography implementations,No,No,Yes,No,No,No,No,2026-05-06,url_needs_review
nist-ir,NIST IR Publications,Government,Americas,https://csrc.nist.gov/publications/search,"Implementation guidance and technical reports (IR 8413, IR 8547)",No,No,Yes,No,No,No,No,2026-05-06,url_authoritative
cmvp,CMVP Cryptographic Module Validation,Government,Americas,https://csrc.nist.gov/projects/cryptographic-module-validation-program,FIPS 140-3 validation for PQC implementations,No,No,Yes,No,No,No,No,2026-05-06,url_authoritative
ncsc-nl,NCSC Netherlands Post-Quantum,Government,EMEA,https://www.ncsc.nl/,Dutch cybersecurity center quantum transition guidance,No,No,No,No,No,No,No,2026-05-06,url_authoritative
cccs-canadian-crypto-standards,CCCS Canadian Crypto Standards,Government,Americas,https://www.cyber.gc.ca/en/guidance/cryptographic-algorithms-unclassified-protected-protected-b-information-itsp40111,Canadian cryptographic algorithm guidance including PQC,No,No,Yes,No,No,No,No,2026-05-06,url_authoritative
cryptrec,Japan CRYPTREC,Government,APAC,https://www.cryptrec.go.jp/en/,Japanese cryptographic standards evaluation project,No,No,Yes,No,No,No,No,2026-05-06,url_needs_review
kisa,Korea KISA,Government,APAC,https://www.kisa.or.kr/eng/,Korean Internet & Security Agency PQC initiatives,No,No,No,No,No,No,No,2026-05-06,url_authoritative
csa-singapore,Singapore CSA Cybersecurity,Government,APAC,https://www.csa.gov.sg/,Singapore Cyber Security Agency quantum readiness,No,No,No,No,No,No,No,2026-05-06,url_needs_review
atarc-federal-technology,ATARC Federal Technology,Industry Workgroup,Americas,https://www.atarc.org/,Advanced Technology Academic Research Center supporting CISA PQC initiatives,No,No,No,No,No,No,No,2026-05-06,url_needs_review
fips,FIPS Standards Repository,Government,Americas,https://csrc.nist.gov/publications/fips,Official FIPS 203/204/205/206 standards documentation,No,No,Yes,No,No,No,No,2026-05-06,url_authoritative
arxiv-crypto,arXiv Cryptography,Academic,Global,https://arxiv.org/list/cs.CR/recent,Pre-print repository for cutting-edge PQC research papers,No,Yes,Yes,Yes,No,No,No,2026-05-06,url_authoritative
iacr-eprint,IACR Cryptology ePrint,Academic,Global,https://eprint.iacr.org/,International Association for Cryptologic Research preprint archive,No,Yes,Yes,Yes,No,No,No,2026-05-06,url_authoritative
bundesdruckerei,Bundesdruckerei Quantum ID,Government,EMEA,https://www.bundesdruckerei.de/en,German government printer developing quantum-secure ID systems,No,No,No,No,No,No,No,2026-05-06,url_needs_review
g7-cyber,G7 Cyber Expert Group,Government,Global,https://home.treasury.gov/news/press-releases/sb0355,G7 CEG statement on coordinated PQC roadmap for financial sector (Jan 2026); 2035 migration target; chaired by U.S. Treasury and Bank of England,No,No,No,Yes,Yes,No,No,2026-05-06,url_authoritative
cisa-pqc,CISA PQC Product Categories,Government,Americas,https://www.cisa.gov/resources-tools/resources/product-categories-technologies-use-post-quantum-cryptography-standards,Federal procurement guidance for PQC-capable products (Jan 2026); identifies product categories where PQC is widely available,No,No,No,No,No,No,No,2026-05-06,url_authoritative
eth-foundation,Ethereum Foundation PQC,Industry Workgroup,Global,https://ethereum.org/,Ethereum Foundation post-quantum security team (Jan 2026); dedicated PQC engineering with $2M research prizes and multi-client test networks,No,Yes,Yes,Yes,No,No,No,2026-05-06,url_needs_review
signal-messenger-protocol,Signal Messenger Protocol,Industry Workgroup,Global,https://signal.org/docs/,"Signal’s official protocol documentation, including the PQXDH post-quantum key agreement specification. Signal deployed ML-KEM-based PQXDH in production in September 2023, making it one of the first widely-deployed PQC messaging protocols.",No,Yes,No,No,Yes,No,Yes,2026-05-06,url_needs_review
apple-security,Apple Security Research,Industry Workgroup,Global,https://security.apple.com/,"Apple Security Engineering & Architecture blog and documentation. Source of the iMessage PQ3 protocol whitepaper (February 2024), which details Apple’s deployment of ML-KEM for quantum-safe messaging at scale.",No,Yes,No,No,Yes,No,Yes,2026-05-06,url_needs_review
aivd-mivd,AIVD/MIVD Netherlands Intelligence,Government,EMEA,https://english.aivd.nl/,Joint publications from the Dutch General Intelligence and Security Service (AIVD) and Military Intelligence and Security Service (MIVD) on quantum threat assessments and post-quantum cryptography migration guidance for the Netherlands.,No,Yes,No,No,No,No,No,2026-05-06,url_needs_review
etsi,ETSI — European Telecommunications Standards Institute,Standards_Body,EMEA,https://www.etsi.org/technologies/quantum-safe-cryptography,"ETSI Quantum Safe Cryptography (QSC) Working Group. Publishes ETSI TS/TR on PQC migration, hybrid key exchange, and QKD. ETSI TS 103 744 defines quantum-safe hybrid key exchange.",No,Yes,No,No,Yes,Yes,Yes,2026-05-06,url_authoritative
w3c,World Wide Web Consortium (W3C),Standards_Body,Global,https://www.w3.org/,W3C Web Cryptography API (WebCrypto) and Verifiable Credentials standards. PQC integration in web standards relevant to identity and browser cryptography.,No,Yes,No,No,No,No,Yes,2026-05-06,url_authoritative
nzism,New Zealand Information Security Manual (NZISM),Government,APAC,https://www.nzism.gcsb.govt.nz/,New Zealand national information security standard mandating PQC adoption timeline for government agencies. Aligns with Five Eyes PQC guidance.,No,No,No,No,Yes,Yes,No,2026-05-06,url_needs_review
sectigo,Sectigo,Industry_Vendor,Americas,https://www.sectigo.com/,CA/PKI vendor with active PQC certificate issuance capabilities. Sectigo is piloting hybrid PQC TLS certificates and PQC code-signing certificates.,Yes,No,No,No,No,No,Yes,2026-05-06,url_needs_review
google-quantum,Google Quantum AI,Industry_Research,Americas,https://quantumai.google/,Google's quantum computing and PQC research division. Published Willow chip results (2024). Active contributor to NIST PQC standardization and open-source PQC implementations (CIRCL).,Yes,Yes,Yes,Yes,No,No,Yes,2026-05-06,url_needs_review
dod-cio,U.S. Department of Defense CIO,Government,Americas,https://dodcio.defense.gov/,DoD CIO oversees CNSA 2.0 implementation across all DoD components. Issues PQC migration guidance and compliance timelines for NSS (National Security Systems).,No,No,No,No,Yes,Yes,Yes,2026-05-06,url_authoritative
microsoft-security,Microsoft Security,Industry_Research,Americas,https://www.microsoft.com/en-us/security/blog/,"Microsoft Security blog and research covering PQC migration, Azure PQC roadmap, and Windows/Office 365 quantum-safe cryptography implementation.",Yes,Yes,No,Yes,No,No,Yes,2026-05-06,url_needs_review
oasis,OASIS Open,Standards_Body,Global,https://www.oasis-open.org/,"OASIS standards body overseeing PKCS#11 TC (cryptographic token interface), KMIP (key management), and emerging PQC standards integration.",No,Yes,No,No,No,Yes,Yes,2026-05-06,url_needs_review
ibm-ibv,IBM Institute for Business Value,Industry_Research,Americas,https://www.ibm.com/thought-leadership/institute-business-value/,IBM IBV research on quantum risk and PQC enterprise adoption. Publishes annual quantum-safe readiness surveys and enterprise migration playbooks.,No,No,No,Yes,No,No,Yes,2026-05-06,url_needs_review
meta,Meta Engineering,Industry_Research,Americas,https://engineering.fb.com/,Meta's engineering blog covering PQC deployment at scale. Published research on PQC in messaging (Signal/WhatsApp) and internal infrastructure migration.,Yes,Yes,No,No,No,No,Yes,2026-05-06,url_needs_review
deloitte,Deloitte,Consulting,Global,https://www2.deloitte.com/,Deloitte quantum risk advisory and PQC readiness assessment frameworks. Published quantum vulnerability assessments for financial services and government sectors.,No,No,No,Yes,No,Yes,Yes,2026-05-06,url_needs_review
forrester-research,Forrester Research,Analyst_Firm,Americas,https://www.forrester.com/,"Forrester analyst coverage of PQC market landscape, vendor evaluations, and enterprise quantum security readiness assessments.",No,No,No,No,No,No,Yes,2026-05-06,url_needs_review
infosec-global,InfoSec Global,Industry_Vendor,Americas,https://www.infosecglobal.com/,Cryptographic asset discovery and PQC migration automation platform. AgileSec Analytics product maps cryptographic inventory for enterprise PQC migration planning.,Yes,No,No,No,No,No,Yes,2026-05-06,url_needs_review
applied-quantum,Applied Quantum,Industry_Vendor,Americas,https://www.appliedquantum.com/,PQC consulting and implementation services. Specializes in PQC migration for financial services and healthcare.,Yes,No,No,No,No,No,Yes,2026-05-06,url_needs_review
charter-of-trust,Charter of Trust,Industry_Workgroup,Global,https://www.charteroftrust.com/,Siemens-led cybersecurity coalition (19+ members) with PQC workstream. Publishes PQC migration recommendations for industrial and critical infrastructure.,Yes,No,No,Yes,No,Yes,Yes,2026-05-06,url_needs_review
cambridge-judge-business-school,Cambridge Judge Business School,Academic,EMEA,https://www.jbs.cam.ac.uk/,"Cambridge business research on quantum risk economics, PQC transition costs, and enterprise quantum readiness frameworks.",No,No,No,Yes,No,No,Yes,2026-05-06,"url_needs_review
"
aacs,AACS Licensing Administrator,Industry Consortium,Americas,https://www.aacsla.com/,AACS LA defines content-protection specifications for Blu-ray and other optical media — uses ECDSA/RSA hardware key management at scale.,No,No,No,Yes,No,No,No,2026-05-21,url_needs_review
apnic,APNIC,Industry Organization,Asia-Pacific,https://www.apnic.net/,Asia-Pacific Network Information Centre — regional internet registry with RPKI / DNSSEC cryptographic infrastructure.,No,No,No,Yes,No,No,No,2026-05-21,url_needs_review
awwa,American Water Works Association,Industry Organization,Americas,https://www.awwa.org/,Sector-specific cybersecurity guidance for US water utilities and AWIA Section 2013 risk assessments.,No,No,No,Yes,No,No,No,2026-05-21,url_needs_review
bis,Bank for International Settlements,International Organization,Global,https://www.bis.org/,BIS Papers + BCBS publications on quantum risks to financial stability and central-bank settlement infrastructure.,No,No,No,Yes,No,No,No,2026-05-21,url_needs_review
cabf,CA/Browser Forum,Industry Consortium,Global,https://cabforum.org/,Sets baseline requirements + Server Certificate working group ballots that drive PKI / browser trust-store policy.,No,No,No,Yes,No,No,No,2026-05-21,url_needs_review
ccss,CryptoCurrency Certification Consortium,Industry Consortium,Global,https://cryptoconsortium.org/standards/ccss/,Cryptocurrency Security Standard (CCSS) — controls for digital-asset custodians and wallet infrastructure.,No,No,No,Yes,No,No,No,2026-05-21,url_needs_review
dvb-project,DVB Project,Industry Consortium,Europe,https://dvb.org/,"Digital Video Broadcasting standards (CSA, CISSA, etc.) for conditional-access systems on satellite / cable / terrestrial TV.",No,No,No,Yes,No,No,No,2026-05-21,url_needs_review
ec,European Commission,Government,Europe,https://commission.europa.eu/,"Source of NIS2, eIDAS 2.0, and implementing decisions that govern PQC obligations across EU regulated sectors.",No,No,No,Yes,No,No,No,2026-05-21,url_needs_review
emvco,EMVCo,Industry Consortium,Global,https://www.emvco.com/,EMV chip-card payment specifications (Book 2 security + key management) — RSA/ECDSA across global card payment rails.,No,No,No,Yes,No,No,No,2026-05-21,url_needs_review
epa-us,US Environmental Protection Agency,Government,Americas,https://www.epa.gov/waterresilience,AWIA Section 2013 risk assessments and water-sector cybersecurity guidance.,No,No,No,Yes,No,No,No,2026-05-21,url_needs_review
era-rail,European Union Agency for Railways,Government,Europe,https://www.era.europa.eu/,EU rail safety + cybersecurity directives covering ETCS Baseline 3 euroradio + FRMCS standards.,No,No,No,Yes,No,No,No,2026-05-21,url_needs_review
fda,US Food and Drug Administration,Government,Americas,https://www.fda.gov/medical-devices/digital-health-center-excellence/cybersecurity,Pre-market + post-market cybersecurity guidance for medical devices and DSCSA enforcement for pharmaceutical supply chain.,No,No,No,Yes,No,No,No,2026-05-21,url_needs_review
ferc,Federal Energy Regulatory Commission,Government,Americas,https://www.ferc.gov/,Cybersecurity reporting (Order 848) + dam safety oversight for US hydropower and bulk-electric systems.,No,No,No,Yes,No,No,No,2026-05-21,url_needs_review
forescout,Forescout Research,Industry Research,Americas,https://www.forescout.com/research-labs/,Device-risk research on connected / unmanaged IoT + OT cryptographic posture.,No,No,No,Yes,No,No,No,2026-05-21,url_needs_review
fpki,Federal PKI Policy Authority,Government,Americas,https://www.idmanagement.gov/fpki/,US Federal PKI common policy + certificate-profile governance under idmanagement.gov.,No,No,No,Yes,No,No,No,2026-05-21,url_needs_review
fra-us,US Federal Railroad Administration,Government,Americas,https://railroads.dot.gov/,PTC cybersecurity + freight/passenger rail safety regulations (49 CFR Part 236 Subpart I).,No,No,No,Yes,No,No,No,2026-05-21,url_needs_review
geneva-association,The Geneva Association,Industry Research,Global,https://www.genevaassociation.org/,Insurance industry research on systemic cyber risks and quantum-era underwriting exposure.,No,No,No,Yes,No,No,No,2026-05-21,url_needs_review
gri,Global Risk Institute,Industry Research,Americas,https://globalriskinstitute.org/,Annual Quantum Threat Timeline Report — definitive CRQC arrival probability estimates.,No,No,No,Yes,No,No,No,2026-05-21,url_needs_review
gs1,GS1,Industry Consortium,Global,https://www.gs1.org/,"Global standards body for identification keys, barcodes, and EPCIS — underpins retail / supply-chain authentication.",No,No,No,Yes,No,No,No,2026-05-21,url_needs_review
gsma,GSMA,Industry Consortium,Global,https://www.gsma.com/,Mobile telco trade body — Post-Quantum Telco Network Taskforce + FS-series security guidelines (FS.18 NESAS).,No,No,No,Yes,No,No,No,2026-05-21,url_needs_review
icao,International Civil Aviation Organization,International Organization,Global,https://www.icao.int/,UN aviation specialised agency — Assembly resolutions on aviation cybersecurity (A41-19) and ADS-B / SWIM specs.,No,No,No,Yes,No,No,No,2026-05-21,url_needs_review
iec,International Electrotechnical Commission,Standards Body,Global,https://www.iec.ch/,"IEC 62351 (power-systems security), IEC 62443 (industrial automation), IEC 61850 (substation comms) standards.",No,No,No,Yes,No,No,No,2026-05-21,url_needs_review
imo,International Maritime Organization,International Organization,Global,https://www.imo.org/,UN agency for shipping — Resolution MSC.428(98) maritime cyber risk management in safety-management systems.,No,No,No,Yes,No,No,No,2026-05-21,url_needs_review
internet2,Internet2 / InCommon,Industry Consortium,Americas,https://www.internet2.edu/,US R&E federation operator (InCommon) + identity & trust infrastructure for higher-ed.,No,No,No,Yes,No,No,No,2026-05-21,url_needs_review
itu,International Telecommunication Union,International Organization,Global,https://www.itu.int/,UN specialised agency — global ICT standards (X-series security; ITU-T quantum-safe networking SG13/17).,No,No,No,Yes,No,No,No,2026-05-21,url_needs_review
nydfs,NY Department of Financial Services,Government,Americas,https://www.dfs.ny.gov/industry-guidance/cybersecurity,23 NYCRR Part 500 — cybersecurity regulation for NY-licensed financial institutions including insurers.,No,No,No,Yes,No,No,No,2026-05-21,url_needs_review
