source_id,source_name,source_type,trust_tier,region,primary_url,description,verification_status,last_verified_date,leaders_csv,library_csv,algorithm_csv,threats_csv,timeline_csv,compliance_csv,migrate_csv,local_doc_count,last_download_date,download_status,doc_collection,notes,primary_url_quality,name,type,domain,date_stamp,status,deprecated_at,deprecated_reason
ibm-research,IBM Research Quantum-Safe,Industry_Workgroup,3_Supporting,Global,https://www.ibm.com/quantum/quantum-safe,Leading contributor to NIST PQC standards (ML-KEM ML-DSA SLH-DSA); crypto-agility solutions,Verified,2026-02-13,No,No,Yes,No,Yes,No,Yes,3,2026-05-07,Active,none,,url_authoritative,,,,2026-05-06,active,,
q360-alliance,Quantum-Safe 360 Alliance,Industry_Workgroup,4_Contextual,Global,https://www.ibm.com/consulting,Alliance of IBM Consulting Keyfactor Quantinuum and Thales for PQC migration services,Verified,2026-02-13,No,No,No,No,No,No,No,0,,None,none,,url_authoritative,,,,2026-05-06,active,,
resque,RESQUE Consortium,Industry_Workgroup,4_Contextual,EMEA,https://www.thalesgroup.com/,French consortium (Thales TheGreenBow CryptoExperts CryptoNext ANSSI Inria) for secure communications,Verified,2026-02-13,No,No,Yes,No,No,No,No,0,,None,none,,url_authoritative,,,,2026-05-06,active,,
pqshield,PQShield,Industry_Workgroup,3_Supporting,Global,https://pqshield.com/,Commercial PQC solutions provider; quantum-resistant semiconductor IP and cryptography,Verified,2026-02-13,Yes,No,Yes,No,Yes,No,Yes,3,2026-05-07,Active,none,,url_needs_review,,,,2026-05-06,active,,
sandboxaq,SandboxAQ,Industry_Analyst,3_Supporting,Americas,https://www.sandboxaq.com/,Enterprise quantum-safe cryptography solutions; PQCA founding member,Verified,2026-02-13,Yes,No,Yes,No,Yes,No,Yes,3,2026-05-07,Active,none,,url_needs_review,,,,2026-05-06,active,,
qusecure,QuSecure,Industry_Workgroup,4_Contextual,Americas,https://qusecure.com/,Quantum-resistant security solutions; PQCA founding member,Verified,2026-02-13,No,No,No,No,No,No,Yes,0,,None,none,,url_needs_review,,,,2026-05-06,active,,
qrypt,Qrypt,Industry_Workgroup,4_Contextual,Americas,https://www.qrypt.com/,Quantum-secure encryption company; PKI Consortium member since 2024,Verified,2026-02-13,No,No,Yes,No,No,No,Yes,0,,None,none,,url_needs_review,,,,2026-05-06,active,,
01quantum,01 Quantum,Industry_Workgroup,4_Contextual,Global,https://01quantum.com/,Early-stage quantum-safe security leader focusing on agile PQC deployment,Verified,2026-02-13,No,No,No,No,No,No,Yes,0,,None,none,,url_authoritative,,,,2026-05-06,active,,
cryptonext,CryptoNext Security,Industry_Workgroup,4_Contextual,EMEA,https://www.cryptonext-security.com/,French quantum-safe cryptography vendor; RESQUE consortium member,Verified,2026-02-13,No,No,Yes,No,No,No,Yes,0,,None,none,,url_needs_review,,,,2026-05-06,active,,
cryptoexperts,CryptoExperts,Industry_Workgroup,4_Contextual,EMEA,https://www.cryptoexperts.com/,Cryptography R&D consultancy; RESQUE consortium member,Verified,2026-02-13,No,No,Yes,No,No,No,No,0,,None,none,,url_needs_review,,,,2026-05-06,active,,
quantinuum,Quantinuum,Industry_Workgroup,3_Supporting,Global,https://www.quantinuum.com/,Quantum computing and quantum-safe solutions; Quantum-Safe 360 Alliance member,Verified,2026-02-13,No,No,Yes,No,Yes,No,Yes,0,,None,none,,url_needs_review,,,,2026-05-06,active,,
kudelski-iot,Kudelski IoT,Industry_Workgroup,4_Contextual,EMEA,https://www.kudelski-iot.com/,IoT security with PQC implementation; PQCA founding member,Verified,2026-02-13,No,No,Yes,No,No,No,No,0,,None,none,,url_needs_review,,,,2026-05-06,active,,
intellect-eu,IntellectEU,Industry_Workgroup,4_Contextual,EMEA,https://www.intellecteu.com/,Enterprise blockchain and quantum-safe solutions; PQCA founding member,Verified,2026-02-13,No,No,No,No,No,No,Yes,0,,None,none,,url_needs_review,,,,2026-05-06,active,,
crypto-quantique,Crypto Quantique,Industry_Workgroup,4_Contextual,EMEA,https://www.cryptoquantique.com/,Quantum-driven security for IoT devices,Verified,2026-02-13,No,No,Yes,No,No,No,No,0,,None,none,,url_needs_review,,,,2026-05-06,active,,
xiphera,Xiphera,Industry_Workgroup,4_Contextual,EMEA,https://www.xiphera.com/,Hardware cryptographic IP cores including PQC implementations,Verified,2026-02-13,No,No,Yes,No,No,No,No,0,,None,none,,url_needs_review,,,,2026-05-06,active,,
resquant,ResQuant,Industry_Workgroup,4_Contextual,EMEA,https://resquant.com/,Quantum risk assessment and PQC migration planning services,Verified,2026-02-13,No,No,No,No,No,No,No,0,,None,none,,url_needs_review,,,,2026-05-06,active,,
sixscape,Sixscape Communications,Industry_Workgroup,4_Contextual,Americas,https://www.sixscape.com/,IPv6 and quantum-safe network security solutions,Verified,2026-02-13,No,No,No,No,No,No,No,0,,None,none,,url_needs_review,,,,2026-05-06,active,,
archon-sec,Archon Security,Industry_Workgroup,4_Contextual,Global,https://www.archon.com/,Quantum-safe cryptographic solutions and consulting,Verified,2026-02-13,No,No,No,No,No,No,No,0,,None,none,,url_authoritative,,,,2026-05-06,active,,
mcgill-crypto,McGill University Cryptography,Academic,3_Supporting,Americas,https://crypto.cs.mcgill.ca/,PQCrypto steering committee member; advanced cryptographic research,Verified,2026-02-13,No,No,Yes,No,No,No,No,0,,None,none,,url_needs_review,,,,2026-05-06,active,,
uc-cincinnati,University of Cincinnati Crypto,Academic,4_Contextual,Americas,https://homepages.uc.edu/~coudtj/,PQCrypto steering committee representation; lattice cryptography research,Verified,2026-02-13,Yes,No,Yes,No,No,No,No,0,,None,none,,url_authoritative,,,,2026-05-06,active,,
ntnu-crypto,Norwegian University of Science and Technology,Academic,4_Contextual,EMEA,https://www.ntnu.edu/,PQCrypto steering committee member; Nordic PQC research leadership,Verified,2026-02-13,No,No,Yes,No,No,No,No,0,,None,none,,url_authoritative,,,,2026-05-06,active,,
psu-crypto,Pennsylvania State University Crypto,Academic,4_Contextual,Americas,https://www.cse.psu.edu/,PQCrypto steering committee; code-based cryptography research,Verified,2026-02-13,No,No,Yes,No,No,No,No,0,,None,none,,url_authoritative,,,,2026-05-06,active,,
u-ryukyu,University of Ryukyu,Academic,4_Contextual,APAC,https://www.u-ryukyu.ac.jp/en/,Japanese PQCrypto research; regional PQC standardization collaboration,Verified,2026-02-13,No,No,Yes,No,No,No,No,0,,None,none,,url_needs_review,,,,2026-05-06,active,,
u-limoges-xlim,University of Limoges XLIM,Academic,4_Contextual,EMEA,https://www.xlim.fr/en,French research institute; PQCrypto steering committee member,Verified,2026-02-13,No,No,Yes,No,No,No,No,0,,None,none,,url_needs_review,,,,2026-05-06,active,,
iiit-kurnool,Indian Institute of Information Technology Kurnool,Academic,4_Contextual,APAC,https://www.iiitk.ac.in/,MeitY-sponsored PQC research projects (2025-2026),Verified,2026-02-13,No,No,Yes,No,No,No,No,0,,None,none,,url_needs_review,,,,2026-05-06,active,,
nist-csrc,NIST Computer Security Resource Center,Government,1_Authoritative,Americas,https://csrc.nist.gov/projects/post-quantum-cryptography,Primary PQC standardization authority; FIPS standards and technical specifications,Verified,2026-02-13,Yes,Yes,Yes,No,Yes,Yes,Yes,86,2026-05-07,Active,library,Fixed tagging: library_csv timeline_csv compliance_csv,url_authoritative,,,,2026-05-06,active,,
nist-news,NIST News & Events,Government,1_Authoritative,Americas,https://www.nist.gov/news-events,Official NIST announcements for PQC milestones and algorithm selections,Verified,2026-02-13,No,No,Yes,No,Yes,No,No,0,,Active,timeline,Fixed tagging: timeline_csv,url_authoritative,,,,2026-05-06,active,,
nsa-advisory,NSA Cybersecurity Advisory,Government,1_Authoritative,Americas,https://www.nsa.gov/Press-Room/Cybersecurity-Advisories-Guidance/,CNSA 2.0 guidance and National Security System requirements,Verified,2025-12-15,No,Yes,No,No,Yes,Yes,No,9,2026-05-07,Blocked,library,Fixed tagging: library_csv timeline_csv compliance_csv; media.defense.gov blocks automated access,url_authoritative,,,,2026-05-06,active,,
nsa-media,NSA Media Defense Portal,Government,1_Authoritative,Americas,https://media.defense.gov/,Official NSA/DoD technical documentation and FAQ releases,Verified,2025-12-15,No,Yes,No,No,No,No,No,0,,Blocked,library,media.defense.gov returns 403 for automated download,url_authoritative,,,,2026-05-06,active,,
cisa,CISA Quantum Page,Government,1_Authoritative,Americas,https://www.cisa.gov/quantum,Federal PQC product categories and procurement guidance (updated Jan 2026),Verified,2026-02-13,No,Yes,No,No,Yes,Yes,Yes,7,2026-05-07,Active,none,Fixed tagging: compliance_csv migrate_csv,url_authoritative,,,,2026-05-06,active,,
bsi,BSI Post-Quantum Cryptography,Government,1_Authoritative,EMEA,https://www.bsi.bund.de/EN/Themen/Unternehmen-und-Organisationen/Informationen-und-Empfehlungen/Quantentechnologien-und-Post-Quanten-Kryptografie/quantentechnologien-und-post-quanten-kryptografie_node.html,German Federal Office for Information Security PQC guidance and migration strategies,Verified,2026-02-13,No,Yes,No,No,Yes,Yes,No,13,2026-05-07,Active,library,Fixed tagging: library_csv timeline_csv compliance_csv,url_authoritative,,,,2026-05-06,active,,
anssi,ANSSI Cryptography Guidelines,Government,1_Authoritative,EMEA,https://www.ssi.gouv.fr/en/,French cybersecurity agency quantum transition recommendations,Verified,2026-02-13,No,Yes,No,No,Yes,Yes,No,14,2026-05-07,Active,library,Fixed tagging: library_csv timeline_csv compliance_csv,url_needs_review,,,,2026-05-06,active,,
ncsc-uk,NCSC UK Quantum Security,Government,1_Authoritative,EMEA,https://www.ncsc.gov.uk/whitepaper/quantum-safe-cryptography,UK National Cyber Security Centre quantum threat guidance,Verified,2026-02-13,No,Yes,No,No,Yes,No,No,3,2025-05-01,Blocked,library,Fixed tagging: library_csv timeline_csv compliance_csv; site requires JS rendering,url_authoritative,,,,2026-05-06,active,,
enisa,ENISA Post-Quantum Cryptography,Government,1_Authoritative,EMEA,https://www.enisa.europa.eu/topics/cryptography,EU cybersecurity agency PQC recommendations and threat analysis,Verified,2026-02-13,Yes,Yes,No,No,Yes,Yes,No,9,2026-05-07,Active,library,Fixed tagging: library_csv timeline_csv compliance_csv,url_authoritative,,,,2026-05-06,active,,
acsc,ACSC Australian Signals Directorate,Government,1_Authoritative,APAC,https://www.cyber.gov.au/,Australian Cyber Security Centre quantum security guidance,Verified,2025-12-15,No,Yes,No,No,Yes,Yes,No,1,2024-12-01,Active,timeline,Fixed tagging: timeline_csv compliance_csv,url_authoritative,,,,2026-05-06,active,,
cccs,CSE Canadian Centre for Cyber Security,Government,1_Authoritative,Americas,https://cyber.gc.ca/en/,Canadian cybersecurity guidance on quantum threats and PQC migration,Verified,2025-12-15,No,No,No,No,Yes,Yes,No,1,2026-05-07,Active,timeline,Fixed tagging: timeline_csv compliance_csv,url_needs_review,,,,2026-05-06,active,,
fed-reserve,Federal Reserve Economic Research,Government,2_Core,Americas,https://www.federalreserve.gov/econres/feds/,Economic and security analysis including HNDL threats to financial systems,Verified,2025-12-15,No,No,No,No,No,No,No,0,,Active,threats,Fixed tagging: timeline_csv,url_authoritative,,,,2026-05-06,active,,
ietf,IETF Datatracker,Standards_Body,1_Authoritative,Global,https://datatracker.ietf.org/,Internet protocol standards including TLS and PKI PQC specifications,Verified,2026-02-13,No,Yes,Yes,No,Yes,Yes,No,229,2026-05-07,Active,library,Fixed tagging: library_csv; primary source for PQC RFCs,url_authoritative,,,,2026-05-06,active,,
iso-iec-sc27,ISO/IEC JTC 1 SC 27,Standards_Body,1_Authoritative,Global,https://www.iso.org/committee/45306.html,International cryptography standards development,Verified,2025-12-15,No,Yes,Yes,No,No,Yes,No,3,2024-01-01,Blocked,none,Fixed tagging: library_csv; most standards paywalled,url_authoritative,,,,2026-05-06,active,,
etsi-cyber,ETSI Cyber Security,Standards_Body,1_Authoritative,EMEA,https://www.etsi.org/technologies/quantum-safe-cryptography,European telecommunications standards for quantum-safe protocols,Verified,2025-12-15,No,Yes,Yes,No,No,Yes,No,31,2026-03-25,Active,library,Fixed tagging: library_csv,url_authoritative,,,,2026-05-06,active,,
ieee-sa,IEEE Standards Association,Standards_Body,1_Authoritative,Global,https://standards.ieee.org/,Technical standards for quantum-safe implementations,Verified,2025-12-15,No,Yes,Yes,No,No,Yes,No,5,2025-01-01,Active,library,Fixed tagging: library_csv; some standards paywalled,url_authoritative,,,,2026-05-06,active,,
pki-consortium,PKI Consortium,Standards_Body,2_Core,Global,https://pkic.org/,Public key infrastructure industry coordination and PQC conferences,Verified,2025-12-15,Yes,Yes,No,No,Yes,No,No,2,2026-05-07,Active,library,,url_needs_review,,,,2026-05-06,active,,
pqcrypto-alliance,Post-Quantum Cryptography Alliance,Standards_Body,2_Core,Global,https://pqcrypto.org/,Research consortium coordinating PQC development and analysis,Verified,2025-12-15,No,No,Yes,No,No,No,No,0,,None,none,,url_authoritative,,,,2026-05-06,active,,
pqca,PQCA (Post-Quantum Cryptography Alliance),Standards_Body,2_Core,Americas,https://www.pqca.org/,Industry alliance for PQC adoption and standards harmonization,Verified,2025-12-15,No,No,Yes,No,No,No,No,0,,None,none,Fixed tagging: leaders_csv algorithm_csv,url_authoritative,,,,2026-05-06,active,,
tcg,Trusted Computing Group,Standards_Body,2_Core,Global,https://trustedcomputinggroup.org/,Hardware security standards including TPM PQC specifications,Verified,2025-12-15,No,Yes,Yes,No,Yes,Yes,No,4,2025-01-01,Blocked,library,TCG site blocks automated download,url_needs_review,,,,2026-05-06,active,,
fs-isac,FS-ISAC Financial Services,Industry_Workgroup,2_Core,Global,https://www.fs-isac.com/,Financial sector threat intelligence and PQC migration guidance,Verified,2025-12-15,No,Yes,No,Yes,No,Yes,No,2,2026-01-01,Active,threats,Fixed tagging: threats_csv,url_authoritative,,,,2026-05-06,active,,
mit-csail,MIT CSAIL Cryptography Group,Academic,3_Supporting,Americas,https://dci.mit.edu/,Post-quantum algorithm research and cryptanalysis,Verified,2025-12-15,No,Yes,Yes,No,No,No,No,0,,None,none,,url_authoritative,,,,2026-05-06,active,,
stanford-acg,Stanford Applied Crypto Group,Academic,3_Supporting,Americas,https://crypto.stanford.edu/,PQC protocol design and security analysis research,Verified,2025-12-15,No,Yes,Yes,No,No,No,No,0,,None,none,,url_authoritative,,,,2026-05-06,active,,
uwaterloo-iqc,University of Waterloo IQC,Academic,3_Supporting,Americas,https://uwaterloo.ca/institute-for-quantum-computing/,Quantum computing and post-quantum cryptography research institute,Verified,2025-12-15,No,No,Yes,No,Yes,No,No,0,,None,none,,url_needs_review,,,,2026-05-06,active,,
eth-zurich-crypto,ETH Zurich Cryptography Group,Academic,3_Supporting,EMEA,https://crypto.ethz.ch/,European PQC algorithm development and analysis,Verified,2025-12-15,No,Yes,Yes,No,No,No,No,0,,None,none,,url_needs_review,,,,2026-05-06,active,,
inria-crypto,INRIA France Cryptography,Academic,3_Supporting,EMEA,https://www.inria.fr/en,French national research institute for PQC algorithms,Verified,2025-12-15,Yes,Yes,Yes,No,No,No,No,0,,None,none,,url_needs_review,,,,2026-05-06,active,,
tue-coding,TU Eindhoven Coding Theory,Academic,3_Supporting,EMEA,https://www.tue.nl/en/research/research-groups/coding-theory-and-cryptology,Code-based and lattice-based PQC research,Verified,2025-12-15,Yes,Yes,Yes,No,No,No,No,0,,None,none,,url_authoritative,,,,2026-05-06,active,,
ku-leuven-cosic,KU Leuven COSIC,Academic,3_Supporting,EMEA,https://www.esat.kuleuven.be/cosic/,Belgian cryptography and security research center,Verified,2025-12-15,Yes,Yes,Yes,No,No,No,No,0,,None,none,,url_needs_review,,,,2026-05-06,active,,
u-toronto-sg,University of Toronto Smart Grid Security,Academic,4_Contextual,Americas,https://www.utoronto.ca/,Critical infrastructure quantum threat research,Verified,2025-12-15,No,No,No,Yes,No,No,No,0,,None,none,,url_needs_review,,,,2026-05-06,active,,
tsinghua-ql,Tsinghua University Quantum Lab,Academic,4_Contextual,APAC,https://www.tsinghua.edu.cn/en/,Chinese quantum computing and PQC research,Verified,2025-12-15,Yes,No,Yes,No,No,No,No,0,,None,none,,url_authoritative,,,,2026-05-06,active,,
nus-cqt,National University of Singapore CQT,Academic,3_Supporting,APAC,https://www.quantumlah.org/,Centre for Quantum Technologies PQC research,Verified,2025-12-15,No,No,Yes,No,No,No,No,0,,None,none,,url_needs_review,,,,2026-05-06,active,,
u-tokyo-q,University of Tokyo Quantum,Academic,4_Contextual,APAC,https://www.u-tokyo.ac.jp/en/,Japanese quantum security research programs,Verified,2025-12-15,No,No,Yes,No,No,No,No,0,,None,none,,url_needs_review,,,,2026-05-06,active,,
abi-research,ABI Research Technology Analysis,Industry_Analyst,4_Contextual,Global,https://www.abiresearch.com/,Industry technology forecasting including HSM and PQC adoption analysis,Verified,2025-12-15,No,No,No,No,No,No,No,0,,None,none,,url_needs_review,,,,2026-05-06,active,,
thales-research,Thales Data Threat Reports,Industry_Analyst,3_Supporting,Global,https://cpl.thalesgroup.com/resources,Annual cybersecurity threat assessments including quantum risks,Verified,2025-12-15,Yes,Yes,No,Yes,No,No,Yes,1,2025-06-02,Active,threats,Fixed tagging: threats_csv,url_authoritative,,,,2026-05-06,active,,
csa-cloud,Cloud Security Alliance,Industry_Workgroup,2_Core,Global,https://cloudsecurityalliance.org/,Cloud security standards including quantum-safe guidance,Verified,2025-12-15,No,No,No,Yes,No,No,No,0,,Active,threats,,url_needs_review,,,,2026-05-06,active,,
owasp,OWASP Quantum,Industry_Workgroup,2_Core,Global,https://owasp.org/,Application security guidance for quantum-safe development,Verified,2025-12-15,No,No,No,No,No,No,Yes,0,,None,none,,url_needs_review,,,,2026-05-06,active,,
lf-qsc,Linux Foundation QSC,Industry_Workgroup,3_Supporting,Global,https://www.linuxfoundation.org/,Open source quantum-safe cryptography implementations,Verified,2025-12-15,No,No,Yes,No,No,No,Yes,0,,None,none,,url_needs_review,,,,2026-05-06,active,,
oqs-project,Open Quantum Safe Project,Academic,2_Core,Global,https://openquantumsafe.org/,Open-source PQC library development and testing,Verified,2025-12-15,No,Yes,Yes,No,No,No,Yes,4,2026-01-01,Active,library,,url_authoritative,,,,2026-05-06,active,,
nist-ir,NIST IR Publications,Government,1_Authoritative,Americas,https://csrc.nist.gov/publications/search,"Implementation guidance and technical reports (IR 8413, IR 8547)",Verified,2025-12-15,No,Yes,Yes,No,No,No,No,0,,Active,library,Fixed tagging: library_csv timeline_csv,url_authoritative,,,,2026-05-06,active,,
cmvp,CMVP Cryptographic Module Validation,Government,1_Authoritative,Americas,https://csrc.nist.gov/projects/cryptographic-module-validation-program,FIPS 140-3 validation for PQC implementations,Verified,2025-12-15,No,No,Yes,No,No,Yes,Yes,0,,None,none,Fixed tagging: compliance_csv migrate_csv,url_authoritative,,,,2026-05-06,active,,
ncsc-nl,NCSC Netherlands Post-Quantum,Government,1_Authoritative,EMEA,https://www.ncsc.nl/,Dutch cybersecurity center quantum transition guidance,Verified,2025-12-15,No,Yes,No,No,Yes,Yes,No,1,2024-11-01,Active,library,Fixed tagging: library_csv timeline_csv compliance_csv,url_needs_review,,,,2026-05-06,active,,
cccs-crypto-std,CCCS Canadian Crypto Standards,Government,1_Authoritative,Americas,https://www.cyber.gc.ca/en/guidance/cryptographic-algorithms-unclassified-protected-protected-b-information-itsp40111,Canadian cryptographic algorithm guidance including PQC,Verified,2025-12-15,No,No,Yes,No,No,No,No,0,,Active,library,Fixed tagging: library_csv timeline_csv compliance_csv,url_needs_review,,,,2026-05-06,active,,
cryptrec,Japan CRYPTREC,Government,1_Authoritative,APAC,https://www.cryptrec.go.jp/en/,Japanese cryptographic standards evaluation project,Verified,2025-12-15,No,Yes,Yes,No,Yes,Yes,No,1,2026-05-07,Active,library,Fixed tagging: library_csv timeline_csv compliance_csv,url_needs_review,,,,2026-05-06,active,,
kisa,Korea KISA,Government,1_Authoritative,APAC,https://www.kisa.or.kr/eng/,Korean Internet & Security Agency PQC initiatives,Verified,2025-12-15,No,Yes,No,No,Yes,Yes,No,5,2025-01-31,Active,timeline,Fixed tagging: timeline_csv compliance_csv,url_authoritative,,,,2026-05-06,active,,
csa-singapore,Singapore CSA Cybersecurity,Government,1_Authoritative,APAC,https://www.csa.gov.sg/,Singapore Cyber Security Agency quantum readiness,Verified,2025-12-15,No,Yes,No,No,Yes,Yes,No,7,2026-05-07,Active,timeline,Fixed tagging: timeline_csv compliance_csv,url_authoritative,,,,2026-05-06,active,,
atarc,ATARC Federal Technology,Industry_Workgroup,4_Contextual,Americas,https://www.atarc.org/,Advanced Technology Academic Research Center supporting CISA PQC initiatives,Verified,2025-12-15,No,No,No,No,No,No,No,0,,None,none,,url_needs_review,,,,2026-05-06,active,,
fips-repo,FIPS Standards Repository,Government,1_Authoritative,Americas,https://csrc.nist.gov/publications/fips,Official FIPS 203/204/205/206 standards documentation,Verified,2025-12-15,No,Yes,Yes,No,No,Yes,No,0,,Active,library,Fixed tagging: library_csv compliance_csv,url_authoritative,,,,2026-05-06,active,,
arxiv-crypto,arXiv Cryptography,Academic,2_Core,Global,https://arxiv.org/list/cs.CR/recent,Pre-print repository for cutting-edge PQC research papers,Verified,2025-12-15,No,Yes,Yes,No,No,No,No,0,,None,none,,url_authoritative,,,,2026-05-06,active,,
iacr-eprint,IACR Cryptology ePrint,Academic,2_Core,Global,https://eprint.iacr.org/,International Association for Cryptologic Research preprint archive,Verified,2025-12-15,No,Yes,Yes,No,No,No,No,0,,None,none,,url_authoritative,,,,2026-05-06,active,,
bundesdruckerei,Bundesdruckerei Quantum ID,Government,2_Core,EMEA,https://www.bundesdruckerei.de/en,German government printer developing quantum-secure ID systems,Verified,2025-12-15,No,No,No,No,No,No,No,0,,Partial,timeline,Fixed tagging: timeline_csv,url_needs_review,,,,2026-05-06,active,,
qc-report,Quantum Computing Report,Industry_Analyst,4_Contextual,Global,https://quantumcomputingreport.com/,Industry news aggregator covering PQC implementations and vendor announcements,Verified,2025-12-15,No,No,No,No,No,No,No,0,,None,none,,url_needs_review,,,,2026-05-06,active,,
g7-ceg,G7 Cyber Expert Group,Government,2_Core,Global,https://home.treasury.gov/news/press-releases/sb0355,G7 CEG statement on coordinated PQC roadmap for financial sector (Jan 2026); 2035 migration target; chaired by U.S. Treasury and Bank of England,Verified,2026-02-13,No,Yes,No,Yes,Yes,Yes,No,4,2026-05-07,Active,threats,Fixed tagging: compliance_csv,url_authoritative,,,,2026-05-06,active,,
cisa-pqc-products,CISA PQC Product Categories,Government,2_Core,Americas,https://www.cisa.gov/resources-tools/resources/product-categories-technologies-use-post-quantum-cryptography-standards,Federal procurement guidance for PQC-capable products (Jan 2026); identifies product categories where PQC is widely available,Verified,2026-02-13,No,No,No,No,No,Yes,Yes,0,,None,none,Fixed tagging: compliance_csv migrate_csv,url_authoritative,,,,2026-05-06,active,,
eth-foundation,Ethereum Foundation PQC,Industry_Workgroup,3_Supporting,Global,https://ethereum.org/,Ethereum Foundation post-quantum security team (Jan 2026); dedicated PQC engineering with $2M research prizes and multi-client test networks,Verified,2026-02-13,No,Yes,Yes,Yes,Yes,No,Yes,12,2026-05-07,Active,library,Fixed tagging: timeline_csv,url_needs_review,,,,2026-05-06,active,,
ascx9,ASC X9 Financial Standards,Standards_Body,1_Authoritative,Americas,https://x9.org/,Accredited Standards Committee X9 for financial industry cryptographic and PKI standards including PQC readiness,Verified,2026-03-12,No,Yes,No,No,Yes,Yes,No,4,2025-08-05,Active,library,Added March 2026; 4 library records added; compliance entry for Finance & Banking,url_needs_review,,,,2026-05-06,active,,
ec,European Commission,Government,1_Authoritative,EMEA,https://digital-strategy.ec.europa.eu/,EU executive branch; PQC policy through eIDAS 2.0 and NIS2 directive; Horizon Europe quantum research funding,Verified,2026-03-28,No,No,No,Yes,Yes,Yes,No,0,,None,none,,url_authoritative,,,,2026-05-06,active,,
nato,NATO,Government,2_Core,Global,https://www.nato.int/,North Atlantic Treaty Organization; quantum-readiness strategy for allied defense,Verified,2026-03-28,No,No,No,Yes,Yes,No,No,0,,None,none,,url_needs_review,,,,2026-05-06,active,,
fda,U.S. Food and Drug Administration,Government,2_Core,Americas,https://www.fda.gov/,Medical device cybersecurity guidance including PQC requirements,Verified,2026-03-28,No,No,No,Yes,No,Yes,No,0,,None,none,,url_authoritative,,,,2026-05-06,active,,
fbi,Federal Bureau of Investigation,Government,2_Core,Americas,https://www.fbi.gov/,U.S. federal law enforcement; quantum threat intelligence,Verified,2026-03-28,No,No,No,Yes,No,No,No,0,,None,none,,url_authoritative,,,,2026-05-06,active,,
ftc,Federal Trade Commission,Government,2_Core,Americas,https://www.ftc.gov/,U.S. consumer protection; data security enforcement,Verified,2026-03-28,No,No,No,No,No,Yes,No,0,,None,none,,url_authoritative,,,,2026-05-06,active,,
omb,Office of Management and Budget,Government,1_Authoritative,Americas,https://www.whitehouse.gov/omb/,U.S. executive office; NSM-8 and NSM-10 mandating federal agency PQC migration,Verified,2026-03-28,No,No,No,No,Yes,Yes,No,0,,None,none,,url_authoritative,,,,2026-05-06,active,,
